term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high,wave,model
RAGENDERFemale,0.8480256511185578,0.10182512391757866,0.1021877589953615,-1.6131520674080324,0.1067114741830942,0.6941072982622584,1.0360754119074749,W3,Categorical_Adjusted
RACE_ETH3Non-Hispanic Black,2.1064323462307963,0.12322562406580266,0.1230674522547918,6.053555766369157,1.4168299207367046e-9,1.654978323501143,2.6810364620732225,W3,Categorical_Adjusted
RACE_ETH3Hispanic or Other,1.2380844679114444,0.15322117449806763,0.15471664230678706,1.3803647628426552,0.1674743638650743,0.9142294995339991,1.676661221788282,W3,Categorical_Adjusted
RAEDUCGED,0.6738216670714143,0.21335376639011963,0.2175894733256356,-1.8143790963804654,0.06961938172148889,0.4398782375854476,1.032184818933449,W3,Categorical_Adjusted
RAEDUCHigh school graduate,0.566211760360717,0.12499338976481185,0.12544876329075494,-4.534019474697832,5.787168971723167e-6,0.4427888789323361,0.7240375104808655,W3,Categorical_Adjusted
RAEDUCCollege or above,0.44621960902613095,0.12619844846048991,0.12693405048194376,-6.357191377461535,2.054759387210067e-10,0.34793826353295676,0.5722622670402943,W3,Categorical_Adjusted
LN_WEALTH,0.9624450702664659,0.008054545538060018,0.007359052413534965,-5.201523531937865,1.9766143895695634e-7,0.9486628976288979,0.9764274702799399,W3,Categorical_Adjusted
CHRONIC_N,1.0238321505840988,0.04040495033791569,0.04154997228520839,0.5668499024457784,0.5708161631886911,0.9437595573270214,1.1106984447802932,W3,Categorical_Adjusted
HAS_INSHas insurance,0.494664881025985,0.31193683882366263,0.3092003804679715,-2.2764356002727872,0.022819950959291846,0.269848021056614,0.9067820603698824,W3,Categorical_Adjusted
EMP_STATUSUnemployed/Not in labor force,2.3678401887973393,0.3460659238803049,0.3400592976154381,2.534788000062783,0.011251539600253041,1.2158874855971424,4.611172683408525,W3,Categorical_Adjusted
EMP_STATUSRetired,2.052334666569059,0.27702321420557446,0.27496895155287504,2.614760695052449,0.008928999088650457,1.1972757468139723,3.5180513718829935,W3,Categorical_Adjusted
EMP_STATUSDisabled,4.021548284629493,0.46975910639705576,0.48679839428508437,2.8588158676149726,0.004252255299921513,1.5489226943538652,10.441354280984916,W3,Categorical_Adjusted
SMOKESTATUSEver/Current smoker,1.0423959327675223,0.09745290987370049,0.09694218528845779,0.4283155460238625,0.6684214021170622,0.862016086445015,1.2605208855572587,W3,Categorical_Adjusted
R_DEPRESYes,2.018407421113905,0.1171366391418535,0.11919064558490555,5.892314716666993,3.808229934086757e-9,1.5979146292653585,2.549553300904875,W3,Categorical_Adjusted
BMIV_CAT_W4Medium variability,1.2236622574835223,0.12102573465603678,0.11928734933994219,1.692117510380622,0.09062357042259797,0.968554334570254,1.545963160708007,W4,Categorical_Adjusted
BMIV_CAT_W4High variability,1.6388491350211325,0.14122099084440026,0.1436190691006673,3.4396146114265758,5.825430695307605e-4,1.236773590615313,2.171639585239911,W4,Categorical_Adjusted
BASELINE_AGE,1.1210616850053248,0.012146034702667266,0.01154644730378325,9.897084907253905,4.285854547424909e-23,1.0959762827640658,1.1467212578883232,W4,Categorical_Adjusted
RAGENDERFemale,0.8779414623446502,0.11232924964837633,0.11280910625098346,-1.153943715051562,0.2485232453225844,0.7037886756363851,1.0951884251432453,W4,Categorical_Adjusted
RACE_ETH3Non-Hispanic Black,2.163293269814843,0.13484262956904458,0.13544450855352508,5.697032170377584,1.2191093087594431e-8,1.658917637096674,2.8210187573968595,W4,Categorical_Adjusted
RACE_ETH3Hispanic or Other,1.1015892507289278,0.18196562382153217,0.18067644913297473,0.5355092541261246,0.5922977601673135,0.7730856591387196,1.569682302312343,W4,Categorical_Adjusted
RAEDUCGED,0.7226450578593715,0.22518307274299892,0.22980303670163427,-1.4135457550355672,0.15749531799358427,0.46059194376124096,1.1337929087167833,W4,Categorical_Adjusted
RAEDUCHigh school graduate,0.5333353744458904,0.1395902273036917,0.1394601197302678,-4.507416410938468,6.562176940502807e-6,0.4057810119648903,0.700985539609107,W4,Categorical_Adjusted
RAEDUCCollege or above,0.44642399065084315,0.1381925191914024,0.1390120001226998,-5.801557607615556,6.570171623698476e-9,0.3399541101864451,0.5862390642058208,W4,Categorical_Adjusted
LN_WEALTH,0.9649741076338019,0.0091090574483804,0.008114055937923425,-4.394104470496036,1.1123031928705228e-5,0.9497492592302821,0.9804430162528548,W4,Categorical_Adjusted
